"Authors","Author full names","Author(s) ID","Title","Year","Source title","Link","Abstract","Author Keywords","Index Keywords"
"","","","Book Reviews","1969","The Manchester School","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84980119617&doi=10.1111%2fj.1467-9957.1969.tb01097.x&partnerID=40&md5=584f591f47c1a9fcf2eede245f65441b","Book reviewed in this article French Regional Planning. By N. M. Hansen Central Planning for the Market Economy. By Vera Lutz. Studies in Profit, Business Saving and Investment in the United Kingdom, 1920‐1962, Vol. 2. Edited by P. E. Hart. Surveys of African Economies, Volume I. By the International Monetary Fund. The Wealth of Britain. By S. Pollard and D. W. Crossley. Output, Inflation & Growth: An Introduction to Macro‐Economics. By D. C. Rowan. Indian Economic Policy. By B. R. Shenoy. Growth, Profitability and Valuation. By A. Singh and G. Whittington. A llocative Efficiency in Economic Development. By P. A. Yotopoulos. Copyright © 1969, Wiley Blackwell. All rights reserved","",""
"Adams D.W.","Adams, Dale W. (8434045000)","8434045000","Economics of cost-share leases: A reply","1969","American Journal of Agricultural Economics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957459693&doi=10.2307%2f1237929&partnerID=40&md5=0bf5a61b60c4c55fecbd9e1d141f20d1","[No abstract available]","",""
"Klos J.J.; Trenton R.W.","Klos, Joseph J. (56952245500); Trenton, R.W. (56952961600)","56952245500; 56952961600","One Semester Or Two","1969","Journal of Economic Education","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33748862314&doi=10.1080%2f00220485.1969.10845296&partnerID=40&md5=12339fb5d8704c2dd0aac837ec7b6aa0","The problem of optimum instruction in economics includes all kinds of technological constraints created by choices among different media of instruction. It also includes the problem of how long a course is required for adequate instruction. Traditionally, principles of economics has been taught as a two-semester, three-hour credit course. This article investigates the extent to which the results achieved by students after one semester's study are equivalent to those achieved after two semesters, and finds the differences less than might be supposed. © 1969 Taylor & Francis Group, LLC.","",""
"Boulding K.E.","Boulding, Kenneth E. (6602398456)","6602398456","Economic Education: The Stepchild Too Is Father Of The Man","1969","Journal of Economic Education","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946004988&doi=10.1080%2f00220485.1969.10845291&partnerID=40&md5=1829311f73913999c478a7dee36e7bfb","“The relationship between economics and education goes far beyond that of the relationship between education and many other subject matters, simply because the process of human learning itself has a great many characteristics of an ‘economy’.” If this is so, Boulding questions: How may a journal of economic education help to realize economies in the transmission of knowledge and the spread of more accurate images of the social system without which democracy is likely to fail?. © 1969 Taylor & Francis Group, LLC.","",""
"Buller Orlan.; Lin W.‐Long.","Buller, Orlan. (6504072740); Lin, Wuu‐Long. (57190145977)","6504072740; 57190145977","MEASURING THE EFFECT OF WEATHER ON CROP PRODUCTIO*","1969","Canadian Journal of Agricultural Economics/Revue canadienne d'agroeconomie","https://www.scopus.com/inward/record.uri?eid=2-s2.0-8744229284&doi=10.1111%2fj.1744-7976.1969.tb02472.x&partnerID=40&md5=46da0d8e522834deea5412aeb85f3283","Farm income is greatly affected by the impact of weather on crop production. Relating crop production to weather requires an index that is relatively specific to a local area. A single index is preferable in economic analysis to avoid including many weather variables that may be highly intercorrelated and to preserve degrees of freedom for testing the models chosen. The unique feature of the reported index is the use of readily available data and the direct estimation of the effect of weather on yield per acre. The resulting weather index was found to be reasonably accurate, and thus suitable for use in studies concerned with such diverse topics as the benefits of environmental control and the stability of farm income. WE ANALYSE DBS CONDITIONS CLIMATIQUES SUR LE RENDEMENT DES CULTURES. — Le revenu agricole est grandement affectée par les conditions climatiques sur le rendement des récoltes. Le rapport entre les deux demande un indice qui relate particulièrement à une région précise. Un seul indice est preferable dans l'analyse économique afin d'éviter d'y inclure trop de variables qui pourraient être et de préserver un dégré de liberté dans l'application des modèles choisis. L'unique caractéristique de cet indice est l'emploie des données disponibles et une évaluation juste des conditions climatiques sur le rendement à l'acre des cultures. Les résultats sur l'indice des conditions climatiques semblent être très efficace, ainsi convenable à l'usage des études concernant les avantages d'un contrôle de milieu et de la stabilité du revenue agricole. © 1969 by the Canadian Agricultural Economics Society","",""
"French C.E.","French, Charles E. (57153525200)","57153525200","Discussion: Agribusiness and other agricultural economics: complementary, supplementary, or competitive?","1969","American Journal of Agricultural Economics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960592648&doi=10.2307%2f1237600&partnerID=40&md5=5df76b9b534559a053bedcfb2b7b2a67","[No abstract available]","",""
"BOLAND L.A.","BOLAND, L.A. (7004252904)","7004252904","ECONOMIC UNDERSTANDING AND UNDERSTANDING ECONOMICS","1969","South African Journal of Economics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977721413&doi=10.1111%2fj.1813-6982.1969.tb02508.x&partnerID=40&md5=f122b881cfd3f686ca00f98b03264522","[No abstract available]","",""
"Lumsden K.G.","Lumsden, Keith G. (16484150100)","16484150100","Where We Now Stand","1969","Journal of Economic Education","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867205871&doi=10.1080%2f00220485.1969.10845292&partnerID=40&md5=8ab3c2bd5bab9333dbe92f53dfe4ecdb","Only in the last decade have significant attempts been made to evaluate scientifically the methods of instruction in economics. Noting the acceleration in scientific evaluation, Lumsden focuses his attention on where we now stand in the evaluation of two methods of instruction: programmed learning materials and television. © 1969 Taylor & Francis Group, LLC.","",""
"BRAITHWAITE W.M.; BRITNEY J.B.","BRAITHWAITE, W.M. (57190144183); BRITNEY, J.B. (57199581321)","57190144183; 57199581321","A COMPUTER MANAGERIAL PACKAGE FOR FEED MILLS*","1968","Canadian Journal of Agricultural Economics/Revue canadienne d'agroeconomie","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977693302&doi=10.1111%2fj.1744-7976.1968.tb02430.x&partnerID=40&md5=4ce82d9e7c5a2db81cf8fcac277adc3f","Currently many attempts are being made to improve the level of firm decision‐making through the use of computers. Such an approach requires the ability to represent the firm's activities in the form of a mathematical model. In this study, the linear programming model was used to represent the operations of a Feed manufacturer. The usefulness of the model to assist managerial decision‐making in the areas of product mix and promotion, pricing, feed formulation and resource utilization is explored. © 1968 by the Canadian Agricultural Economics Society","",""
"Villard H.H.","Villard, Henry H. (56952933000)","56952933000","Where We Now Stand","1969","Journal of Economic Education","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867205875&doi=10.1080%2f00220485.1969.10845298&partnerID=40&md5=804e9b4327a5dd0ca6d6a0f91ef5ffca","Although the history of the development of reliable testing instruments for economics goes back only a few years, the Test of Economic Understanding (TEU, 1963) and the Test of Understanding of College Economics (TUCE, 1967-1968) have already resulted in valuable measurements of student learning. Villard's critical appraisal of these tests, and of research based upon their use, summarizes where we now stand in the evaluation of teaching effectiveness. © 1969 Taylor & Francis Group, LLC.","",""
